,rd,km,lat,lon
0,1,815,18.97689114,99.91170776
1,1,816,18.98373761,99.90608007
2,1,817,18.99215577,99.90322232
3,1,818,19.00010349,99.89927131
4,1,819,19.00632392,99.90142886
5,1,820,19.01257152,99.90808523
6,1,821,19.01774946,99.91549404
7,1,822,19.02390681,99.92167163
8,1,823,19.03145995,99.92669302
9,1,824,19.03967409,99.93056973
10,1,825,19.04691906,99.93543868
11,1,826,19.05494346,99.93236087
12,1,827,19.06354341,99.92928758
13,1,828,19.07235758,99.92741809
14,1,829,19.08043306,99.92375967
15,1,830,19.08740787,99.91791144
16,1,831,19.09454795,99.9124945
17,1,831,19.09454795,99.9124945
18,1,832,19.10334583,99.91006808
19,1,833,19.11165248,99.90641001
20,1,834,19.12033525,99.90713993
21,1,835,19.1289767,99.91005649
22,1,836,19.13807205,99.91084402
23,1,836,19.13807205,99.91084402
24,1,837,19.14713778,99.9119266
25,1,838,19.15606722,99.91372686
26,1,839,19.16440409,99.91194986
27,1,28,13.95289378,100.62193
28,1,29,13.96166455,100.6202929
29,1,29,13.96166455,100.6202929
30,1,30,13.97059098,100.6186761
31,1,30,13.97059098,100.6186761
32,1,31,13.97952919,100.6170661
33,1,31,13.97952919,100.6170661
34,1,32,13.98847839,100.6156089
35,1,32,13.98847839,100.6156089
36,1,32,13.98847839,100.6156089
37,1,33,13.99747858,100.6148275
38,1,33,13.99747858,100.6148275
39,1,34,14.00655495,100.6151247
40,1,34,14.00655495,100.6151247
41,1,35,14.01562708,100.6154248
42,1,36,14.02470432,100.6157336
43,1,37,14.03378091,100.6160674
44,1,38,14.04285195,100.6164793
45,1,39,14.05192622,100.6168436
46,1,39,14.05192622,100.6168436
47,1,493,16.67343886,99.26910344
48,1,494,16.68071534,99.26355488
49,1,495,16.68804927,99.2580338
50,1,496,16.69509401,99.25214159
51,1,497,16.70213595,99.2462486
52,1,498,16.70918946,99.240367
53,1,499,16.71622994,99.23446972
54,1,500,16.72321605,99.22850844
55,1,501,16.73016634,99.222505
56,1,502,16.73711808,99.21650367
57,1,503,16.74402797,99.21045386
58,1,504,16.75093136,99.20439668
59,1,505,16.75781773,99.198321
60,1,506,16.76467322,99.19221043
61,1,507,16.77116771,99.18572774
62,1,508,16.77743624,99.17901584
63,1,509,16.78371487,99.17231351
64,1,510,16.78986968,99.16550364
65,1,511,16.79527908,99.15808331
66,1,512,16.79986194,99.15012607
67,1,513,16.80644529,99.14374518
68,1,514,16.81318673,99.13750835
69,1,515,16.81993414,99.1312787
70,1,516,16.82664908,99.12502372
71,1,517,16.83336861,99.11876426
72,1,518,16.84115547,99.11398302
73,1,518,16.84115547,99.11398302
74,1,519,16.8496617,99.11231341
75,1,520,16.85436628,99.12006584
76,1,521,16.85839932,99.12831613
77,1,522,16.8624942,99.13653407
78,1,523,16.86957573,99.13452186
79,1,524,16.87734145,99.12962002
80,1,711,18.32437977,99.53248788
81,1,712,18.33237031,99.5371499
82,1,713,18.34018677,99.54204204
83,1,714,18.34638985,99.54887607
84,1,715,18.35113621,99.55681687
85,1,716,18.35586864,99.56476572
86,1,717,18.36058428,99.5727237
87,1,718,18.36529158,99.58068757
88,1,719,18.37003215,99.5886317
89,1,720,18.37479415,99.59656299
90,1,721,18.37956872,99.60448679
91,1,722,18.38434843,99.61240753
92,1,723,18.38969724,99.61993438
93,1,724,18.39545033,99.62717906
94,1,725,18.40140627,99.63423479
95,1,726,18.40832679,99.64037369
96,1,727,18.41458021,99.64707437
97,1,728,18.41851023,99.65540574
98,1,729,18.42110724,99.66425893
99,1,730,18.42207892,99.67334988
100,1,731,18.42270856,99.68255717
101,1,732,18.42355486,99.6914281
102,1,733,18.42687947,99.69966577
103,1,734,18.42827532,99.70868753
104,1,735,18.42912802,99.71755671
105,1,736,18.42435075,99.72473611
106,1,737,18.41907836,99.73058925
107,1,738,18.42106364,99.73933437
108,1,739,18.42185354,99.7481415
109,1,740,18.42611114,99.75545108
110,1,741,18.43130796,99.76307104
111,1,742,18.43638014,99.77067836
112,1,743,18.44317002,99.77585561
113,1,744,18.44851345,99.78337917
114,1,745,18.45261452,99.79093631
115,1,746,18.45686697,99.79805965
116,1,747,18.46369141,99.80395262
117,1,748,18.47190555,99.80495135
118,1,749,18.48056719,99.80744684
119,1,750,18.48955387,99.80928146
120,1,751,18.49851107,99.81133927
121,1,752,18.5068296,99.81466477
122,1,753,18.51512852,99.8183092
123,1,754,18.5188521,99.82385699
124,1,755,18.52676453,99.82861036
125,1,756,18.53434268,99.83365511
126,1,757,18.54137271,99.83951199
127,1,758,18.54667537,99.8463113
128,1,759,18.55324058,99.85264087
129,1,760,18.5577561,99.85992079
130,1,761,18.56249919,99.86728614
131,1,762,18.56476878,99.87598396
132,1,763,18.57165788,99.88179486
133,1,764,18.57869042,99.88704776
134,1,765,18.58492592,99.89329733
135,1,766,18.59246533,99.89778828
136,1,767,18.60039047,99.90101323
137,1,768,18.60854152,99.90456917
138,1,769,18.61667401,99.90670357
139,1,770,18.62468049,99.90883778
140,1,771,18.63350308,99.91098687
141,1,772,18.640252,99.91675292
142,1,773,18.64864761,99.91992384
143,1,774,18.65708931,99.92177951
144,1,775,18.66560384,99.92538234
145,1,776,18.67429858,99.92823708
146,1,777,18.68076823,99.93456533
147,1,778,18.68549647,99.94195525
148,1,779,18.69314718,99.94499489
149,1,780,18.69901398,99.95027933
150,1,781,18.70531109,99.95552905
151,1,782,18.71313943,99.95757574
152,1,783,18.71878797,99.96415014
153,1,784,18.72622505,99.96819797
154,1,785,18.73418644,99.97163797
155,1,786,18.742061,99.97478905
156,1,787,18.75014919,99.97151446
157,1,787,18.75014919,99.97151446
158,1,788,18.75822915,99.97029418
159,1,789,18.76580828,99.97309531
160,1,790,18.77417649,99.9704598
161,1,791,18.78265719,99.96833873
162,1,792,18.78978584,99.96340967
163,1,793,18.79835365,99.96152092
164,1,794,18.80669503,99.95899183
165,1,795,18.8138922,99.95397437
166,1,796,18.82154981,99.94969848
167,1,797,18.83017506,99.9488658
168,1,798,18.83891341,99.94816661
169,1,799,18.84766341,99.94768609
170,1,800,18.85636099,99.94835353
171,1,801,18.86505138,99.94832214
172,1,802,18.87372479,99.9471417
173,1,803,18.88216394,99.94474329
174,1,804,18.89063425,99.94533806
175,1,805,18.89889222,99.94572619
176,1,806,18.90722194,99.9430591
177,1,807,18.9152461,99.93952917
178,1,808,18.92260583,99.93483245
179,1,809,18.93042162,99.93144205
180,1,810,18.9382637,99.92917974
181,1,811,18.94614214,99.92540978
182,1,812,18.9543224,99.92248985
183,1,813,18.96258586,99.92009871
184,1,814,18.9699146,99.91640584
185,1,387,15.9781659,99.82598176
186,1,388,15.98470377,99.81964201
187,1,389,15.99115901,99.81321802
188,1,390,15.99757488,99.80675543
189,1,391,16.00399853,99.80030249
190,1,392,16.0103396,99.79376699
191,1,393,16.01667504,99.78722555
192,1,394,16.02294344,99.78061878
193,1,395,16.02919347,99.7739946
194,1,396,16.0354386,99.76736644
195,1,397,16.04164868,99.76070653
196,1,398,16.04778855,99.75398152
197,1,399,16.05394962,99.74727575
198,1,400,16.06009638,99.74055673
199,1,401,16.06689136,99.73460905
200,1,402,16.0752829,99.73107049
