road,direction,km,mffs
1,in,19,20
1,in,25,20
1,in,26,130
1,in,27,141
1,in,28,144
1,in,29,120
1,in,30,123
1,in,31,132
1,in,32,116
1,in,33,127
1,in,34,101
1,in,35,135
1,in,36,126
1,in,37,119
1,in,38,116
1,in,39,123
1,in,40,137
1,in,41,122
1,in,42,139
1,in,43,142
1,in,44,135
1,in,45,134
1,in,46,121
1,in,47,122
1,in,48,117
1,in,49,124
1,in,50,124
1,in,51,109
1,in,52,127
1,in,53,126
1,in,54,123
1,in,55,129
1,in,56,115
1,in,57,106
1,in,58,124
1,in,59,120
1,in,60,122
1,in,61,100
1,in,62,121
1,in,63,116
1,in,64,117
1,in,65,111
1,in,66,118
1,in,67,118
1,in,68,128
1,in,69,114
1,in,70,109
1,in,71,114
1,in,72,121
1,in,73,112
1,in,74,120
1,in,75,121
1,in,76,128
1,in,77,114
1,in,78,114
1,in,79,103
1,in,80,113
1,in,81,118
1,in,82,114
1,in,83,116
1,in,84,124
1,in,85,131
1,in,86,110
1,in,87,96
1,in,88,109
1,in,89,111
1,in,90,110
1,in,91,116
1,in,92,95
1,in,93,90
1,in,94,94
1,in,95,91
1,in,96,108
1,in,97,87
1,in,98,101
1,in,99,117
1,in,100,124
1,in,101,118
1,in,102,117
1,in,103,125
1,in,104,90
1,in,105,110
1,in,106,113
1,in,107,89
1,in,108,95
1,in,109,111
1,in,110,115
1,in,111,132
1,in,112,127
1,in,113,101
1,in,114,88
1,in,115,111
1,in,116,96
1,in,117,94
1,in,118,118
1,in,119,115
1,in,120,132
1,in,121,104
1,in,122,116
1,in,123,106
1,in,124,121
1,in,125,136
1,in,126,114
1,in,127,85
1,in,128,103
1,in,129,109
1,in,130,144
1,in,131,124
1,in,132,115
1,in,133,112
1,in,134,116
1,in,135,107
1,in,136,92
1,in,137,105
1,in,138,101
1,in,139,112
1,in,140,115
1,in,141,125
1,in,142,118
1,in,143,111
1,in,144,115
1,in,145,109
1,in,146,112
1,in,147,111
1,in,148,105
1,in,149,103
1,in,150,101
1,in,151,98
1,in,152,95
1,in,153,92
1,in,154,89
1,in,155,95
1,in,156,111
1,in,157,125
1,in,158,111
1,in,159,101
1,in,160,124
1,in,161,122
1,in,162,114
1,in,163,107
1,in,164,82
1,in,165,92
1,in,166,79
1,in,167,118
1,in,168,114
1,in,169,122
1,in,170,131
1,in,171,122
1,in,172,131
1,in,173,127
1,in,174,125
1,in,175,131
1,in,176,133
1,in,177,133
1,in,178,131
1,in,179,122
1,in,180,112
1,in,181,125
1,in,182,119
1,in,183,127
1,in,184,122
1,in,185,126
1,in,186,127
1,in,187,123
1,in,188,104
1,in,189,97
1,in,190,100
1,in,191,109
1,in,192,111
1,in,193,109
1,in,194,89
1,in,195,107
1,in,196,118
1,in,197,108
1,in,198,115
1,in,199,105
1,in,200,92
1,in,201,102
1,in,202,106
1,in,203,94
1,in,204,106
1,in,205,107
1,in,206,109
1,in,207,94
1,in,208,94
1,in,209,90
1,in,210,90
1,in,211,94
1,in,212,91
1,in,213,118
1,in,214,104
1,in,215,106
1,in,216,92
1,in,217,89
1,in,218,89
1,in,219,105
1,in,220,100
1,in,221,90
1,in,222,94
1,in,223,90
1,in,224,96
1,in,225,105
1,in,226,109
1,in,227,111
1,in,228,98
1,in,229,114
1,in,230,103
1,in,231,76
1,in,232,90
1,in,233,83
1,in,234,80
1,in,235,91
1,in,236,102
1,in,237,115
1,in,238,127
1,in,239,113
1,in,240,107
1,in,241,99
1,in,242,105
1,in,243,91
1,in,244,81
1,in,245,90
1,in,246,99
1,in,247,110
1,in,248,88
1,in,249,97
1,in,250,104
1,in,251,90
1,in,252,94
1,in,253,84
1,in,254,109
1,in,255,96
1,in,256,92
1,in,257,101
1,in,258,94
1,in,259,107
1,in,260,118
1,in,261,122
1,in,262,116
1,in,263,118
1,in,264,111
1,in,265,126
1,in,266,116
1,in,267,114
1,in,268,135
1,in,269,122
1,in,270,111
1,in,271,120
1,in,272,123
1,in,273,120
1,in,274,105
1,in,275,111
1,in,276,133
1,in,277,112
1,in,278,124
1,in,279,117
1,in,280,95
1,in,281,61
1,in,282,127
1,in,283,121
1,in,284,117
1,in,285,122
1,in,286,116
1,in,287,116
1,in,288,115
1,in,289,106
1,in,290,86
1,in,291,119
1,in,292,135
1,in,293,116
1,in,294,105
1,in,295,114
1,in,296,123
1,in,297,116
1,in,298,120
1,in,299,135
1,in,300,135
1,in,301,125
1,in,302,150
1,in,303,117
1,in,304,116
1,in,305,108
1,in,306,122
1,in,307,99
1,in,308,121
1,in,309,128
1,in,310,143
1,in,311,111
1,in,312,119
1,in,313,115
1,in,314,148
1,in,315,128
1,in,316,133
1,in,317,120
1,in,318,136
1,in,319,141
1,in,320,127
1,in,321,120
1,in,322,132
1,in,323,128
1,in,324,111
1,in,325,111
1,in,326,120
1,in,327,89
1,in,328,110
1,in,329,124
1,in,330,104
1,in,331,103
1,in,332,133
1,in,333,123
1,in,334,119
1,in,335,125
1,in,336,138
1,in,337,141
1,in,338,97
1,in,339,114
1,in,340,103
1,in,341,103
1,in,342,94
1,in,343,74
1,in,344,118
1,in,345,125
1,in,346,127
1,in,347,120
1,in,348,124
1,in,349,118
1,in,350,125
1,in,351,137
1,in,352,120
1,in,353,131
1,in,354,113
1,in,355,120
1,in,356,135
1,in,357,114
1,in,358,116
1,in,359,128
1,in,360,134
1,in,361,142
1,in,362,123
1,in,363,119
1,in,364,120
1,in,365,117
1,in,366,119
1,in,367,125
1,in,368,124
1,in,369,119
1,in,370,120
1,in,371,123
1,in,372,120
1,in,373,124
1,in,374,120
1,in,375,119
1,in,376,132
1,in,377,115
1,in,378,116
1,in,379,125
1,in,380,124
1,in,381,115
1,in,382,128
1,in,383,113
1,in,384,125
1,in,385,115
1,in,386,117
1,in,387,128
1,in,388,111
1,in,389,112
1,in,390,92
1,in,391,102
1,in,392,121
1,in,393,128
1,in,394,121
1,in,395,144
1,in,396,127
1,in,397,135
1,in,398,125
1,in,399,134
1,in,400,119
1,in,401,116
1,in,402,134
1,in,403,119
1,in,404,146
1,in,405,116
1,in,406,120
1,in,407,119
1,in,408,131
1,in,409,121
1,in,410,110
1,in,411,117
1,in,412,120
1,in,413,135
1,in,414,138
1,in,415,143
1,in,416,132
1,in,417,118
1,in,418,109
1,in,419,114
1,in,420,133
1,in,421,122
1,in,422,126
1,in,423,139
1,in,424,135
1,in,425,126
1,in,426,131
1,in,427,139
1,in,428,125
1,in,429,124
1,in,430,137
1,in,431,144
1,in,432,111
1,in,433,123
1,in,434,147
1,in,435,137
1,in,436,141
1,in,437,119
1,in,438,139
1,in,439,114
1,in,440,125
1,in,441,156
1,in,442,124
1,in,443,115
1,in,444,127
1,in,445,120
1,in,446,120
1,in,447,91
1,in,448,113
1,in,449,119
1,in,450,112
1,in,451,119
1,in,452,126
1,in,453,109
1,in,454,95
1,in,455,99
1,in,456,101
1,in,457,92
1,in,458,89
1,in,459,107
1,in,460,122
1,in,461,117
1,in,462,119
1,in,463,125
1,in,464,128
1,in,465,125
1,in,466,106
1,in,467,124
1,in,468,125
1,in,469,120
1,in,470,126
1,in,471,113
1,in,472,90
1,in,473,127
1,in,474,127
1,in,475,121
1,in,476,132
1,in,477,115
1,in,478,121
1,in,479,143
1,in,480,136
1,in,481,120
1,in,482,133
1,in,483,117
1,in,484,134
1,in,485,144
1,in,486,130
1,in,487,111
1,in,488,160
1,in,489,111
1,in,490,118
1,in,491,122
1,in,492,120
1,in,493,91
1,in,494,122
1,in,495,115
1,in,496,119
1,in,497,160
1,in,498,111
1,in,499,120
1,in,500,124
1,in,501,125
1,in,502,147
1,in,503,129
1,in,504,128
1,in,505,119
1,in,506,127
1,in,507,136
1,in,508,138
1,in,509,123
1,in,510,160
1,in,511,134
1,in,512,146
1,in,513,108
1,in,514,143
1,in,515,140
1,in,516,133
1,in,517,133
1,in,518,91
1,in,519,98
1,in,520,137
1,in,521,104
1,in,522,120
1,in,523,92
1,in,524,99
1,in,525,89
1,in,526,114
1,in,527,110
1,in,528,117
1,in,529,105
1,in,530,137
1,in,531,132
1,in,532,131
1,in,533,135
1,in,534,120
1,in,535,135
1,in,536,125
1,in,537,119
1,in,538,144
1,in,539,134
1,in,540,134
1,in,541,136
1,in,542,136
1,in,543,118
1,in,544,135
1,in,545,109
1,in,546,124
1,in,547,133
1,in,548,120
1,in,549,116
1,in,550,134
1,in,551,136
1,in,552,136
1,in,553,120
1,in,554,126
1,in,555,115
1,in,556,130
1,in,557,128
1,in,558,131
1,in,559,127
1,in,560,114
1,in,561,116
1,in,562,130
1,in,563,149
1,in,564,132
1,in,565,118
1,in,566,119
1,in,567,109
1,in,568,120
1,in,569,119
1,in,570,139
1,in,571,125
1,in,572,130
1,in,573,135
1,in,574,128
1,in,575,125
1,in,576,118
1,in,577,121
1,in,578,108
1,in,579,119
1,in,580,140
1,in,581,116
1,in,582,129
1,in,583,122
1,in,584,134
1,in,585,131
1,in,586,136
1,in,587,114
1,in,588,149
1,in,589,120
1,in,590,125
1,in,591,122
1,in,592,130
1,in,593,114
1,in,594,108
1,in,595,109
1,in,596,127
1,in,597,137
1,in,598,140
1,in,599,112
1,in,600,113
1,in,601,123
1,in,602,118
1,in,603,113
1,in,604,129
1,in,605,135
1,in,606,126
1,in,607,133
1,in,608,120
1,in,609,121
1,in,610,117
1,in,611,120
1,in,612,109
1,in,613,114
1,in,614,113
1,in,615,124
1,in,616,105
1,in,617,81
1,in,618,105
1,in,619,125
1,in,620,106
1,in,621,104
1,in,622,117
1,in,623,122
1,in,624,160
1,in,625,114
1,in,626,111
1,in,627,120
1,in,628,121
1,in,629,118
1,in,630,118
1,in,631,123
1,in,632,112
1,in,633,118
1,in,634,105
1,in,635,121
1,in,636,109
1,in,637,105
1,in,638,122
1,in,639,113
1,in,640,123
1,in,641,136
1,in,642,100
1,in,643,99
1,in,644,102
1,in,645,116
1,in,646,110
1,in,647,123
1,in,648,111
1,in,649,127
1,in,650,110
1,in,651,93
1,in,652,114
1,in,653,111
1,in,654,108
1,in,655,110
1,in,656,114
1,in,657,119
1,in,658,114
1,in,659,160
1,in,660,130
1,in,661,137
1,in,662,160
1,in,663,122
1,in,664,160
1,in,665,128
1,in,666,125
1,in,667,112
1,in,668,122
1,in,669,117
1,in,670,88
1,in,671,121
1,in,672,106
1,in,673,115
1,in,674,107
1,in,675,112
1,in,676,119
1,in,677,132
1,in,678,160
1,in,679,160
1,in,680,133
1,in,681,160
1,in,682,160
1,in,683,127
1,in,684,110
1,in,685,105
1,in,686,128
1,in,687,160
1,in,688,160
1,in,689,160
1,in,690,124
1,in,691,160
1,in,692,109
1,in,693,160
1,in,694,122
1,in,695,127
1,in,696,102
1,in,697,93
1,in,698,120
1,in,699,160
1,in,700,160
1,in,701,100
1,in,702,160
1,in,703,101
1,in,704,90
1,in,705,160
1,in,706,78
1,in,707,160
1,in,708,130
1,in,709,125
1,in,710,130
1,in,711,160
1,in,712,130
1,in,713,123
1,in,714,115
1,in,715,118
1,in,716,115
1,in,717,112
1,in,718,119
1,in,719,111
1,in,720,116
1,in,721,160
1,in,722,118
1,in,723,130
1,in,724,116
1,in,725,115
1,in,726,160
1,in,727,114
1,in,728,130
1,in,729,160
1,in,730,107
1,in,731,160
1,in,732,160
1,in,733,94
1,in,734,160
1,in,735,160
1,in,736,160
1,in,737,90
1,in,738,120
1,in,739,92
1,in,740,160
1,in,741,119
1,in,742,121
1,in,743,110
1,in,744,125
1,in,745,96
1,in,746,160
1,in,747,83
1,in,748,98
1,in,749,104
1,in,750,97
1,in,751,115
1,in,752,94
1,in,753,112
1,in,754,97
1,in,755,119
1,in,756,105
1,in,757,160
1,in,758,95
1,in,759,90
1,in,760,107
1,in,761,160
1,in,762,90
1,in,763,100
1,in,764,88
1,in,765,88
1,in,766,92
1,in,767,121
1,in,768,160
1,in,769,160
1,in,770,123
1,in,771,126
1,in,772,92
1,in,773,100
1,in,774,103
1,in,775,133
1,in,776,97
1,in,777,160
1,in,778,123
1,in,779,101
1,in,780,105
1,in,781,90
1,in,782,103
1,in,783,94
1,in,784,91
1,in,785,95
1,in,786,106
1,in,787,120
1,in,788,102
1,in,789,108
1,in,790,110
1,in,791,119
1,in,792,102
1,in,793,118
1,in,794,109
1,in,795,106
1,in,796,130
1,in,797,124
1,in,798,129
1,in,799,127
1,in,800,119
1,in,801,119
1,in,802,115
1,in,803,111
1,in,804,107
1,in,805,104
1,in,806,132
1,in,807,112
1,in,808,96
1,in,809,108
1,in,810,107
1,in,811,122
1,in,812,99
1,in,813,111
1,in,814,102
1,in,815,94
1,in,816,106
1,in,817,104
1,in,818,107
1,in,819,104
1,in,820,117
1,in,821,95
1,in,822,97
1,in,823,90
1,in,824,91
1,in,825,90
1,in,826,102
1,in,827,129
1,in,828,113
1,in,829,106
1,in,830,96
1,in,831,76
1,in,832,109
1,in,833,118
1,in,834,114
1,in,835,112
1,in,836,97
1,in,837,97
1,in,838,118
1,in,839,97
1,in,840,104
1,in,841,90
1,in,842,95
1,in,843,93
1,in,844,94
1,in,845,92
1,in,846,119
1,in,847,105
1,in,848,123
1,in,849,133
1,in,850,120
1,in,851,129
1,in,852,124
1,in,853,130
1,in,854,115
1,in,855,124
1,in,856,123
1,in,857,119
1,in,858,112
1,in,859,124
1,in,860,119
1,in,861,121
1,in,862,119
1,in,863,115
1,in,864,101
1,in,865,132
1,in,866,118
1,in,867,111
1,in,868,123
1,in,869,130
1,in,870,120
1,in,871,113
1,in,872,110
1,in,873,98
1,in,874,112
1,in,875,120
1,in,876,133
1,in,877,120
1,in,878,126
1,in,879,135
1,in,880,129
1,in,881,138
1,in,882,124
1,in,883,137
1,in,884,123
1,in,885,119
1,in,886,122
1,in,887,89
1,in,888,103
1,in,889,111
1,in,890,98
1,in,891,89
1,in,892,137
1,in,893,123
1,in,894,146
1,in,895,112
1,in,896,111
1,in,897,118
1,in,898,114
1,in,899,119
1,in,900,135
1,in,901,119
1,in,902,141
1,in,903,116
1,in,904,124
1,in,905,114
1,in,906,111
1,in,907,100
1,in,908,130
1,in,909,92
1,in,910,107
1,in,911,111
1,in,912,119
1,in,913,119
1,in,914,118
1,in,915,119
1,in,916,118
1,in,917,120
1,in,918,114
1,in,919,116
1,in,920,104
1,in,921,123
1,in,922,136
1,in,923,114
1,in,924,105
1,in,925,115
1,in,926,113
1,in,927,130
1,in,928,112
1,in,929,103
1,in,930,111
1,in,931,115
1,in,932,104
1,in,933,90
1,in,934,78
1,in,935,93
1,in,936,102
1,in,937,115
1,in,938,108
1,in,939,107
1,in,940,100
1,in,941,112
1,in,942,109
1,in,943,114
1,in,944,114
1,in,945,124
1,in,946,125
1,in,947,120
1,in,948,117
1,in,949,104
1,in,950,123
1,in,951,134
1,in,952,125
1,in,953,121
1,in,954,114
1,in,955,130
1,in,956,122
1,in,957,96
1,in,958,110
1,in,959,104
1,in,960,96
1,in,961,98
1,in,962,105
1,in,963,105
1,in,964,110
1,in,965,127
1,in,966,124
1,in,967,121
1,in,968,127
1,in,969,122
1,in,970,136
1,in,971,135
1,in,972,126
1,in,973,122
1,in,974,110
1,in,975,107
1,in,976,118
1,in,977,125
1,in,978,120
1,in,979,128
1,in,980,110
1,in,981,102
1,in,982,117
1,in,983,124
1,in,984,127
1,in,985,128
1,in,986,114
1,in,987,117
1,in,988,118
1,in,989,118
1,in,990,121
1,in,991,102
1,in,992,101
1,in,993,98
