road,direction,km,mffs
2,out,0,20
2,out,1,109
2,out,2,117
2,out,3,113
2,out,4,124
2,out,5,127
2,out,6,120
2,out,7,136
2,out,8,110
2,out,9,124
2,out,10,109
2,out,11,128
2,out,12,114
2,out,13,119
2,out,14,110
2,out,15,111
2,out,16,106
2,out,17,107
2,out,18,129
2,out,19,105
2,out,20,122
2,out,21,115
2,out,22,117
2,out,23,114
2,out,24,112
2,out,25,115
2,out,26,114
2,out,27,127
2,out,28,112
2,out,29,103
2,out,30,111
2,out,31,106
2,out,32,110
2,out,33,137
2,out,34,126
2,out,35,119
2,out,36,119
2,out,37,99
2,out,38,87
2,out,39,104
2,out,40,110
2,out,41,134
2,out,42,123
2,out,43,116
2,out,44,122
2,out,45,114
2,out,46,134
2,out,47,116
2,out,48,133
2,out,49,129
2,out,50,113
2,out,51,117
2,out,52,134
2,out,53,108
2,out,54,140
2,out,55,152
2,out,56,118
2,out,57,135
2,out,58,140
2,out,59,121
2,out,60,119
2,out,61,137
2,out,62,117
2,out,63,128
2,out,64,123
2,out,65,119
2,out,66,104
2,out,67,123
2,out,68,141
2,out,69,150
2,out,70,123
2,out,71,145
2,out,72,148
2,out,73,134
2,out,74,115
2,out,75,128
2,out,76,133
2,out,77,140
2,out,78,118
2,out,79,135
2,out,80,112
2,out,81,127
2,out,82,102
2,out,83,124
2,out,84,127
2,out,85,131
2,out,86,136
2,out,87,114
2,out,88,127
2,out,89,131
2,out,90,146
2,out,91,134
2,out,92,120
2,out,93,125
2,out,94,132
2,out,95,137
2,out,96,127
2,out,97,127
2,out,98,124
2,out,99,118
2,out,100,122
2,out,101,115
2,out,102,133
2,out,103,132
2,out,104,160
2,out,105,124
2,out,106,133
2,out,107,126
2,out,108,123
2,out,109,122
2,out,110,126
2,out,111,138
2,out,112,147
2,out,113,156
2,out,114,137
2,out,115,123
2,out,116,119
2,out,117,122
2,out,118,141
2,out,119,128
2,out,120,138
2,out,121,123
2,out,122,137
2,out,123,127
2,out,124,127
2,out,125,128
2,out,126,127
2,out,127,110
2,out,128,126
2,out,129,113
2,out,130,116
2,out,131,121
2,out,132,134
2,out,133,130
2,out,134,115
2,out,135,129
2,out,136,122
2,out,137,130
2,out,138,142
2,out,139,127
2,out,140,114
2,out,141,107
2,out,142,118
2,out,143,121
2,out,144,123
2,out,145,122
2,out,146,93
2,out,147,114
2,out,148,91
2,out,149,112
2,out,150,89
2,out,151,132
2,out,152,119
2,out,153,133
2,out,154,143
2,out,155,143
2,out,156,132
2,out,157,127
2,out,158,142
2,out,159,112
2,out,160,119
2,out,161,118
2,out,162,138
2,out,163,123
2,out,164,109
2,out,165,120
2,out,166,113
2,out,167,133
2,out,168,125
2,out,169,125
2,out,170,115
2,out,171,118
2,out,172,117
2,out,173,116
2,out,174,108
2,out,175,99
2,out,176,113
2,out,177,121
2,out,178,128
2,out,179,129
2,out,180,121
2,out,181,124
2,out,182,141
2,out,183,132
2,out,184,131
2,out,185,128
2,out,186,124
2,out,187,133
2,out,188,121
2,out,189,130
2,out,190,125
2,out,191,142
2,out,192,124
2,out,193,119
2,out,194,133
2,out,195,135
2,out,196,140
2,out,197,81
2,out,198,135
2,out,199,112
2,out,200,127
2,out,201,127
2,out,202,128
2,out,203,123
2,out,204,122
2,out,205,130
2,out,206,131
2,out,207,129
2,out,208,104
2,out,209,111
2,out,210,127
2,out,211,160
2,out,212,150
2,out,213,148
2,out,214,131
2,out,215,126
2,out,216,138
2,out,217,160
2,out,218,136
2,out,219,137
2,out,220,129
2,out,221,133
2,out,222,118
2,out,223,128
2,out,224,136
2,out,225,141
2,out,226,135
2,out,227,118
2,out,228,136
2,out,229,128
2,out,230,133
2,out,231,129
2,out,232,133
2,out,233,98
2,out,234,113
2,out,235,122
2,out,236,118
2,out,237,126
2,out,238,142
2,out,239,127
2,out,240,141
2,out,241,150
2,out,242,119
2,out,243,112
2,out,244,119
2,out,245,152
2,out,246,142
2,out,247,119
2,out,248,126
2,out,249,136
2,out,250,134
2,out,251,138
2,out,252,160
2,out,253,126
2,out,254,134
2,out,255,128
2,out,256,132
2,out,257,124
2,out,258,124
2,out,259,117
2,out,260,129
2,out,261,118
2,out,262,112
2,out,263,90
2,out,264,103
2,out,265,121
2,out,266,129
2,out,267,129
2,out,268,129
2,out,269,119
2,out,270,133
2,out,271,146
2,out,272,129
2,out,273,139
2,out,274,132
2,out,275,131
2,out,276,129
2,out,277,138
2,out,278,122
2,out,279,139
2,out,280,129
2,out,281,127
2,out,282,121
2,out,283,114
2,out,284,124
2,out,285,128
2,out,286,136
2,out,287,129
2,out,288,132
2,out,289,126
2,out,290,124
2,out,291,108
2,out,292,119
2,out,293,97
2,out,294,98
2,out,295,97
2,out,296,122
2,out,297,135
2,out,298,124
2,out,299,126
2,out,300,131
2,out,301,132
2,out,302,148
2,out,303,130
2,out,304,127
2,out,305,118
2,out,306,134
2,out,307,135
2,out,308,136
2,out,309,138
2,out,310,118
2,out,311,109
2,out,312,133
2,out,313,127
2,out,314,134
2,out,315,119
2,out,316,120
2,out,317,134
2,out,318,136
2,out,319,120
2,out,320,115
2,out,321,138
